,Symbol,Holding_Period,Total_Return_no_tp_sl,Accuracy_no_tp_sl,Num_Signals,TP(%),SL(%),Total_Return_with_tp_sl,Accuracy_with_tp_sl,High_in_x_hours,Volume_Increase_Pct,Weight
176,W-USD,144,0.1794240927610383,100.0,4,10,20,0.1442971647273598,100.0,552,60,0.0
177,PRCL-USD,48,0.2434596992857136,100.0,6,10,20,0.0898281111009182,100.0,576,20,0.0017692738379686246
178,TNSR-USD,24,-0.1746865270207045,90.9090909090909,11,10,30,-0.1083271383128828,90.9090909090909,576,80,1.3197444284380918e-17
179,DBR-USD,120,0.3348293956947403,66.66666666666666,3,10,10,0.2906260033388528,100.0,360,20,0.02175264343995729
180,HNT-USD,96,0.1796904709981137,90.0,10,10,30,0.0668582678840926,100.0,456,80,0.0
181,IO29835-USD,96,0.2604868412047347,100.0,3,10,20,0.1264734788771598,100.0,552,20,1.9844566435222787e-18
182,JTO-USD,144,0.5087673527622018,70.0,10,10,30,0.463190696692362,90.0,624,20,0.0
183,BOBA-USD,24,0.306202037612247,75.0,20,10,20,0.2076855412185814,85.0,504,40,4.423819881474249e-18
184,SGB12186-USD,120,0.6219189174646216,87.5,8,10,20,0.535761879757137,100.0,672,60,0.013086709789228969
185,SOLO-USD,144,1.140491991665094,71.42857142857143,7,10,20,-0.1056146291737415,71.42857142857143,336,40,0.023301279137969023
186,FLR-USD,144,0.5146390038549047,87.5,8,10,20,0.2479078604836644,100.0,576,100,0.0013955801064392999
187,BLAST28480-USD,72,0.2632823454812246,83.33333333333334,6,10,20,0.3092972612300783,100.0,408,20,0.0
188,OMNI30315-USD,144,0.10223446310335205,100.0,5,10,30,-0.029468659249669196,100.0,456,60,0.0
