Symbol,Last_Trigger_Date,Price(THB),Price(USD),High_in_x_hours,Volume_Increase_Pct,Holding_hours,TP(%),SL(%),Num_Signals,AVG_Return_No_TP_SL,Accuracy_No_TP_SL,AVG_Return_With_TP_SL,Accuracy_With_TP_SL,Weight,Sell
LINK-USD,2024-11-22 23:00:00+07:00,541.1470814609528,15.772284507751465,576,100,48,100,20,27,1.9723472181802688,66.66666666666666,1.9723472181802688,66.66666666666666,0.0443999999999999,True
LPT-USD,2024-11-24 10:00:00+07:00,455.768981924057,13.283852577209473,696,80,144,100,40,15,30.983260405359605,80.0,38.64157530207716,80.0,0.0084,False
LRC-USD,2024-11-09 02:00:00+07:00,4.8015267680585385,0.1399454027414322,696,80,168,100,40,35,7.295057144514577,68.57142857142857,7.295057144514577,68.57142857142857,0.0048,True
LTC-USD,2024-10-14 21:00:00+07:00,2286.814690551758,66.65155029296875,144,30,216,100,40,103,1.591052141860948,57.28155339805825,1.591052141860948,57.28155339805825,0.0,True
MANA-USD,2024-11-29 06:00:00+07:00,21.342807054519653,0.6220579147338867,48,40,24,100,20,171,0.8950477420055406,62.57309941520468,0.83459016320301,62.57309941520468,0.0036,True
MINA-USD,2024-11-28 02:00:00+07:00,27.16117192924023,0.7916401028633118,408,10,48,100,20,68,-0.7772729466994477,52.94117647058824,-0.7958303604861827,52.94117647058824,0.0,True
MKR-USD,2024-11-21 19:00:00+07:00,54833.272843017585,1598.1717529296875,240,30,192,100,20,72,3.659971311838906,61.11111111111112,2.733519102737469,59.72222222222222,0.024,True
MOVR-USD,2024-11-23 14:00:00+07:00,444.76561189651494,12.96314811706543,288,100,48,100,20,43,26.95603022267644,60.46511627906976,14.977907015140783,60.46511627906976,0.0036,True
MTL-USD,2024-11-29 18:00:00+07:00,52.33336700558663,1.525309443473816,480,10,24,100,20,41,2.195763231562358,58.53658536585365,2.4095486274544613,58.53658536585365,0.0048,False
NEAR-USD,2024-11-11 09:00:00+07:00,176.18573523998262,5.13511323928833,552,90,168,100,20,47,7.074183935196496,63.82978723404256,7.120318462849068,63.82978723404256,0.0144,True
NKN-USD,2024-11-09 12:00:00+07:00,2.5159615041315546,0.0733302682638168,168,60,216,100,40,90,0.0646586919038625,57.77777777777777,-0.22468657134309167,57.77777777777777,0.0,True
NMR-USD,2024-11-28 00:00:00+07:00,677.8067167854309,19.755369186401367,648,10,48,100,20,46,0.14289981367719345,58.69565217391305,-0.17391756522478485,58.69565217391305,0.0012,True
OM-USD,2024-11-10 21:00:00+07:00,51.992316458225254,1.515369176864624,336,10,216,100,40,118,20.808295097142466,72.88135593220339,20.445934904212663,72.88135593220339,0.0108,True
OP-USD,2024-11-21 20:00:00+07:00,71.11163836479187,2.0726213455200195,408,80,72,100,20,34,2.0489193003662143,55.88235294117647,2.0489193003662143,55.88235294117647,0.006,True
OSMO-USD,2024-11-23 19:00:00+07:00,20.383266237378123,0.5940911173820496,312,100,48,100,20,34,1.4621312167903622,67.64705882352942,1.4621312167903622,67.64705882352942,0.0096,True
OXT-USD,2024-11-10 15:00:00+07:00,2.45055973947048,0.0714240670204162,288,10,168,100,40,71,3.4838737437211753,64.7887323943662,3.4838737437211753,64.7887323943662,0.012,True
PHB-USD,2024-11-29 01:00:00+07:00,75.25986171483994,2.193525552749634,648,50,192,100,40,41,11.347844225424147,78.04878048780488,11.347844225424147,78.04878048780488,0.0216,False
POWR-USD,2024-11-26 09:00:00+07:00,11.574895037710668,0.337362140417099,48,20,24,100,40,213,0.4747678396231061,53.52112676056338,0.6115287589364911,53.52112676056338,0.0,True
QNT-USD,2024-11-23 08:00:00+07:00,3323.6019412994387,96.8697738647461,192,20,24,100,20,71,0.597779052635428,57.74647887323944,0.597779052635428,57.74647887323944,0.0,True
RAY-USD,2024-10-14 16:00:00+07:00,67.25914348840713,1.960336446762085,480,80,240,100,40,58,10.096122796598365,68.96551724137932,10.096122796598365,68.96551724137932,0.0192,True
REQ-USD,2024-11-29 01:00:00+07:00,4.196968046054244,0.12232492119073868,480,80,24,100,20,29,0.35084994099703903,51.72413793103448,0.4752993542527308,51.72413793103448,0.0024,True
RIF-USD,2024-11-27 21:00:00+07:00,4.660904001444578,0.135846808552742,120,10,168,100,20,129,3.064277136673083,57.36434108527132,3.789426313189062,57.36434108527132,0.0,False
RLC-USD,2024-11-23 06:00:00+07:00,64.79312941670418,1.888461947441101,168,100,96,100,20,67,6.547590253336294,65.67164179104478,6.321779461436263,65.67164179104478,0.0156,True
ROSE-USD,2024-11-23 13:00:00+07:00,3.30681016616523,0.0963803604245185,336,70,216,100,40,72,6.155276547577681,68.05555555555556,6.155276547577681,68.05555555555556,0.018,False
RPL-USD,2024-11-25 17:00:00+07:00,436.931948518753,12.734827995300291,576,40,48,100,20,16,-0.7187966241074367,56.25,-1.285260447035045,56.25,0.0,True
RUNE-USD,2024-11-11 17:00:00+07:00,212.75104931831362,6.2008466720581055,672,50,72,100,20,34,3.315802610925591,61.76470588235294,3.282141623141667,61.76470588235294,0.0216,True
SAND-USD,2024-11-08 20:00:00+07:00,8.994384548664092,0.2621505260467529,264,100,168,100,40,57,3.6456131353997234,63.1578947368421,8.908771030136565,68.42105263157895,0.0,True
SCRT-USD,2024-11-12 05:00:00+07:00,7.756319117844104,0.226065844297409,600,100,240,100,40,18,19.97657902110674,88.88888888888889,20.821839939566217,88.88888888888889,0.0156,True
SC-USD,2024-11-28 05:00:00+07:00,0.2492525846231698,0.0072647212073206,72,40,24,100,20,138,0.771710980044706,58.69565217391305,1.226013556889093,58.69565217391305,0.0048,True
SHIB-USD,2024-11-10 04:00:00+07:00,0.0006774484820016369,1.974492806766648e-05,696,40,48,100,20,47,16.467224265147717,72.3404255319149,15.831881302935761,72.3404255319149,0.0144,True
SNX-USD,2024-11-27 17:00:00+07:00,81.46726389169693,2.3744466304779053,480,90,24,100,20,41,0.35190284509806125,56.09756097560976,0.35190284509806125,56.09756097560976,0.0,True
SOL-USD,2024-11-06 10:00:00+07:00,6322.222176055909,184.2676239013672,528,30,168,100,40,62,4.3681687674514915,72.58064516129032,4.3681687674514915,72.58064516129032,0.0276,True
STMX-USD,2024-11-11 00:00:00+07:00,0.20993669989984248,0.0061188195832073,672,100,192,100,40,37,6.39982130644187,72.97297297297297,6.48380797305837,72.97297297297297,0.0084,True
STORJ-USD,2024-11-06 07:00:00+07:00,15.085413988232613,0.4396798014640808,72,100,96,100,20,104,1.1641669284157485,52.88461538461539,1.245380053093608,52.88461538461539,0.0036,True
STX-USD,2024-11-30 05:00:00+07:00,0.14650465578306407,0.0042700278572738,288,30,72,100,60,12,-23.665113926507676,41.66666666666667,8.91599477763936,50.0,0.0,False
SUI20947-USD,2024-11-07 22:00:00+07:00,80.38508843898774,2.3429055213928223,648,100,144,100,20,52,8.157073369892972,65.38461538461539,8.10616072270688,65.38461538461539,0.0131999999999999,True
SUN-USD,2024-11-24 09:00:00+07:00,0.8102093952521658,0.0236143805086612,624,40,168,100,20,31,40.41480837771407,83.87096774193549,34.841050778231086,83.87096774193549,0.0084,False
SUSHI-USD,2024-11-27 22:00:00+07:00,40.97092557907105,1.1941394805908203,672,70,48,100,20,39,3.717449369411372,56.41025641025641,3.717449369411372,56.41025641025641,0.0227999999999999,True
